title,link,current_price,original_price,discount_percentage,ratings,reviews
"Mivi Collar 2B Wireless Earphones, Bluetooth Earphones with mic, Fast Charging, Powerful Bass, HD Sound and Made in India Neckband - Green",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05428301U0UNY6OUNAN3&url=%2FMivi-Wireless-Earphones-Bluetooth-Charging%2Fdp%2FB08RX977D8%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-28-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_mtf,899.0,2999.0,70.02334111370457,3.9,2635
"Zebronics Zeb-Symphony ​Wireless ​In Ear​ ​Neckband Earphone​ ​with BT 5.0, Dual Pairing, Call Function, Splash Proof, Magnetic Earpiece",https://www.amazon.in/Zebronics-Zeb-Symphony-Bluetooth-Earphone-Assistant/dp/B07TB9KGPR/ref=sr_1_29?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-29,599.0,1199.0,50.0417014178482,3.3,6373
"pTron Bassfest Plus Magnetic in-Ear Bluetooth 5.0 Wireless Headphones, Stereo Sound with Bass, IPX4 Water & Sweat Resistant, Voice Assistance, Ergonomic & Lightweight, Built-in Mic - (Black & Blue)",https://www.amazon.in/Bassfest-Plus-Headphones-Assistance-Lightweight/dp/B08HHLJ5FJ/ref=sr_1_30?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-30,499.0,1299.0,61.585835257890686,3.8,1597
iBall EarWear Sporty Wireless Bluetooth Headset with Mic for All Smartphones (Full Black),https://www.amazon.in/iBall-Sporty-Smartphones-Full-Black/dp/B07VNR12XM/ref=sr_1_31?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-31,855.0,2299.0,62.8099173553719,3.7,3580
"Infinity Glide 120 by Harman, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, Premium Metal Earbuds, Flex Neckband, Bluetooth 5.0 with Voice Assistant, IPX5 Sweatproof (Black & Red)",https://www.amazon.in/Infinity-Glide-120-Earphones-Sweatproof/dp/B082MDMW3Y/ref=sr_1_32?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-32,999.0,2990.0,66.5886287625418,3.9,22306
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic(Neon),https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJFDW/ref=sr_1_33?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-33,999.0,2990.0,66.5886287625418,4.0,218099
realme Buds Wireless in-Ear Bluetooth with mic (Yellow),https://www.amazon.in/realme-RMA108-Realme-Buds-Wireless/dp/B07XJWTYM2/ref=sr_1_34?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-34,1499.0,1890.0,20.68783068783069,4.1,47804
"Sony WI-C200 Wireless In-Ear Headphones with 15 Hours Battery Life, Quick Charge, Magnetic Earbuds for Tangle Free Carrying,Metallic Finish, Bluetooth ver 5.0, Headset with mic for phone calls (Black)",https://www.amazon.in/Sony-WI-C200-Wireless-Neck-Band-Headphones/dp/B07S13PJ3W/ref=sr_1_35?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-35,1699.0,2990.0,43.17725752508361,3.9,21306
"Grostar Bluetooth Earbuds Wireless Earbuds Bluetooth Earphones Wireless Headphones, Bluetooth 5.0 TWS Stereo Earphones in-Ear with Charging Case, Built-in Microphones for Sports,Workout,Gym (Black)",https://www.amazon.in/Bluetooth-Wireless-Earphones-Headphones-Microphones/dp/B08YWQY19F/ref=sr_1_36?dchild=1&keywords=earphones+wireless&qid=1620036826&sr=8-36,699.0,1995.0,64.9624060150376,4.0,12
OnePlus Buds Z (White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0647685HHZP9AANBU5Y&url=%2FOnePlus-Buds-Z-White%2Fdp%2FB07XY541GH%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-37-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_btf,2699.0,3190.0,15.391849529780563,4.2,17385
