name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Holiday cottage rental in Brittany, BN000920_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN000920_C/index.htm,Bedrooms 11, Sleeps 29,9.8/10,£400 to £2150 pw
Holiday cottage with pool in Lot village, ML006906,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML006906/index.htm,Bedrooms 2, Sleeps 4,4,£1795 to £3000 pw
Holiday cottage with shared pool nr Poitiers, PV005062,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV005062/index.htm,Bedrooms 1, Sleeps 2,9.8/10,£371 to £567 pw
Holiday cottage in rural Vendée, LV003857,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV003857/index.htm,Bedrooms 2, Sleeps 4,4,£400 to £650 pw
"5 Bed Farmhouse to let, heated pool, Lot", ML007218,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML007218/index.htm,Bedrooms 5, Sleeps 10,10,£1495 to £1950 pw
"Large Converted Barn for 10, to let nr Saumur", PV007250,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV007250/index.htm,Bedrooms 4, Sleeps 10,10,£965 to £1900 pw
"Family friendly gite to let with pool, Brux", PV007709,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV007709/index.htm,Bedrooms 2, Sleeps 4,4,£475 to £825 pw
Holiday rental & pool nr St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM000398_A/index.htm,Bedrooms 2, Sleeps 5,5,£700 to £950 pw
"Cottage to let in Cotes d'Armor, Brtittany", BN007484_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007484_B/index.htm,Bedrooms 3, Sleeps 6,6,£375 to £485 pw
Large Aquitaine holiday let with private pool, AD005215,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005215/index.htm,Bedrooms 4, Sleeps 8,10/10,£850 to £1200 pw
"Farmhouse & barn conversion to let, Aquitaine", AD007483,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007483/index.htm,Bedrooms 6, Sleeps 12,12,£1100 to £2400 pw
"Holiday cottage for 2, Puivert, Languedoc", RA007727,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA007727/index.htm,Bedrooms 1, Sleeps 2,2,£400 pw
Holiday Gite with private pool in Vendee, LV006067,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006067/index.htm,Bedrooms 2, Sleeps 4,10/10,£450 to £950 pw
"Holiday rural gite, shared pool, near Gomene", BN004658,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004658/index.htm,Bedrooms 3, Sleeps 7,7,£620 to £965 pw
"Cottage, pool for holiday let in Brittany", BF002047_G,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF002047_G/index.htm,Bedrooms 3, Sleeps 6,9.5/10,£425 to £1225 pw
Lovely gite to let with a pool in the Vendee, LV007718_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007718_A/index.htm,Bedrooms 2, Sleeps 4,4,€390 to €741 pw
Spacious gite to let with pool in Aquitaine, AG005818,https://www.holidayfrancedirect.co.uk/holiday-rentals/AG005818/index.htm,Bedrooms 4, Sleeps 6,9.9/10,€1200 to €1550 pw
Holiday cottage with pool in Brittany, BM005480,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM005480/index.htm,Bedrooms 3, Sleeps 7,9.6/10,£1050 to £1680 pw
Holiday let & pool Loire Valley, VI004218_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/VI004218_A/index.htm,Bedrooms 3, Sleeps 6,6,£595 to £1095 pw
Beautiful gite to let with a pool in Vienne, PV007685,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV007685/index.htm,Bedrooms 5, Sleeps 10,10,£1050 to £1575 pw
Holiday cottage in Brittany, BN007565,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007565/index.htm,Bedrooms 2, Sleeps 4,4,£334 to £484 pw
Pretty gite for holiday let Vienne, PV003746,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV003746/index.htm,Bedrooms 1, Sleeps 5,5,£650 pw
Holiday let set in Normandy manor's gounds, NC004781_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC004781_A/index.htm,Bedrooms 3, Sleeps 7,9.7/10,€700 pw
Relaxing large gite to let in Brittany, BF007407,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF007407/index.htm,Bedrooms 5, Sleeps 10,10,£425 to £799 pw
Lovely converted barn with pool in Charente, PC006897,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006897/index.htm,Bedrooms 5, Sleeps 10,10,£850 to £1950 pw
"Holiday barn to let nr Rostrenen, Brittany", BN002868,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002868/index.htm,Bedrooms 4, Sleeps 6,6,£300 to £480 pw
"Holiday cottage with shared pool, Aquitaine", AT007460,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT007460/index.htm,Bedrooms 1, Sleeps 2,2,£480 to £595 pw
"Lovely gite with pool to let, Charente", PC006531,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006531/index.htm,Bedrooms 2, Sleeps 4,4,£450 to £585 pw
Lovely 1 bedroom gite to let in Aquitaine, AD004356_E,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004356_E/index.htm,Bedrooms 1, Sleeps 2,10/10,£330 to £600 pw
Self catering holiday cottage in Brittany, BI003960_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI003960_B/index.htm,Bedrooms 1, Sleeps 3,3,£375 to £400 pw
"Holiday cottage for 2, near Albi", MT004965,https://www.holidayfrancedirect.co.uk/holiday-rentals/MT004965/index.htm,Bedrooms 1, Sleeps 2,9.9/10,£460 to £510 pw
Holiday cottage for 4 in rural Normandy, NM005381,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005381/index.htm,Bedrooms 2, Sleeps 4,10/10,£475 to £795 pw
"Spacious holiday house to let, rural Vendee", LV006299,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006299/index.htm,Bedrooms 5, Sleeps 10,9.8/10,£799 to £995 pw
